Id,Expected
0,"Found the scarriest mystery door in my school . I 'M SO CURIOUS D:"
1,"Bridalplasty ! Love this showww ."
2,"I think I 'm a wait an hour or 2 & THEN tweet @sinittaofficial ..."
3,"' You ai nt got none ? ' First , aint is not a word if you are referring to asking me if I did n't have an appointment then the answer is no ."
4,"Twitter does make a @ button right ... o just making sure"
5,"#NSN3D sorrryyz i got caught for textinnggg . dudeee . it was the most awkward thing ever ! I SEE YOU DOWN THER !"
6,"Ultra is to mutha f'n swole !!! #slowjaminthisbih"
7,"if @DoobieClothing do nt make some hoodies soon ... imma beat em !"
8,"ther s still like 1 1 / 2 hours till Biebs bday here :P"
9,"Chillin living life"
10,"Fainlly KFC dinner is here ♥ ."
11,"O_O lucky you .... llabd wutup doe ?! Shine ! RT @Queen_Shine : @11wdNICK * yawns * Still in the bed :)"
12,"@waveyylifestyle true true . I 'm in love wit food nigga"
13,"I 'd like to take this over ,, what I 'm tryin ' to say is you should be mine .."
14,"@DJBKnockin well I 'm fuckn amazin .. lol ... tottaly awsome who 's bad now lol"
15,"Phoooonneeeeeeeeee with my wife !"
16,"@TheDjReFlex if u ca n't beat em join em . Lol"
17,"RT @alisha_bieber96 : #nsnweekend how can people choose there favourite performance , the whole thing was perfect !"
18,"Whooaaaa bro these CELTICS are god dammmm babies !!! MAN UP"
19,"@ThreeeStacks @lildick_e Woooooooow"
20,"Noo it s not cuss you have swag andd you wo nt look dumb ! @youloveants !!"
21,"Had Fun , Now I 'm Omw To My Gma House For Her Birthday"
22,"@TFP_103 @losoo5150 nigga u quit to"
23,"Oo yeaa ii hear thunda ! Rainnn kum onnnnnn"
24,"I think I do +_O ' you 're sick ' RT @Mannando : Lmao u don even know what that means RT @M_teeDaQuEEn : Lol nawe lol RT"
25,"; idk why ... but i feel like talkin dirty O_o"
26,"I think jawn was try na be smart talk'n bout da baul little do she know I d nt give two shits about none of these Cheyney boy's ."
27,"A woman dat wants me fa me .... dat s all I ask for ."
28,"@SabrinagLeek haha u wish ! Just wait for me to fins a cool name tht has darren + loewe in it lol ( everything sounds bad :( )"
29,"@malamucha22 @MsLockallhearts they had their fun , we hd ours ! ;) lmaooo"
30,"@CoverGurlFayyy i did tooo ! this is getting goood . lol"
31,"@modTINGsingh can we go to tims please and tonkkss"
32,"@walkerhell I know but passing uni so I can go to America next year and stalk out Corey , that 's a plan ."
33,"@CareenaCoolAss u not callin me"
34,"I wonder when Nic Cage is going to film ' Another Something Something Las Vegas ' ."
35,"Whaoo #BlowUp RT @ENVYTheRedHead_ : My mom bitchh to much ."
36,"« @KayoVito #KayoQ&A LADIES what if u tell a guy ' I Love you ' and he says ' oh ok ' ....... then what ? » then he do n't love you lol"
37,"OOHHHH that was sssoooo good !! 1st bath since May lol :)"
38,"Givin out back shots"
39,"It s about to go down . * kevin hart voice *"
40,"@Tongriyang schl is ok so far .... will calll u soon ... still with my fone ... he is good ;-) hw r u ?"
41,"This #CoonShit right here tho twitpic.com/6s0h5f"
42,"this history paper is gay af . who needs creative writting for histroy"
43,"@ffionface dye our tanyas hair plz !?"
44,"@UglyNipplesTho awh shit ! my po babie ... you good now ?!"
45,"I hate MSU !! Hawwwwwwwks !!"
46,"@WaltBabyLove504 they not using IDs ! It s a classic , got ta buy ticket =("
47,"No Test for me , tomar :)"
